dataset,model,cost_fn,cost_fp,cost_ratio,threshold_ec,test_expected_cost,test_tpr,test_fpr
Home Credit,LR,3.0,1.0,3.0,0.8,0.22766369120205515,0.15561015561015562,0.028788922446528552
Home Credit,RF,3.0,1.0,3.0,0.64,0.23137082743931187,0.15151515151515152,0.03175612426923824
Home Credit,XGBoost,3.0,1.0,3.0,0.76,0.2242817423540315,0.20536445536445536,0.03799078048005087
Home Credit,LightGBM,3.0,1.0,3.0,0.75,0.22369640505341198,0.22297297297297297,0.041911725745774384
Home Credit,LR,4.0,1.0,4.0,0.72,0.29229468481212295,0.292997542997543,0.07356187852134442
Home Credit,RF,4.0,1.0,4.0,0.63,0.29754646114823663,0.17915642915642915,0.03998657694413536
Home Credit,XGBoost,4.0,1.0,4.0,0.73,0.28481537485976294,0.2618755118755119,0.05469895264840425
Home Credit,LightGBM,4.0,1.0,4.0,0.7,0.2840349251256036,0.31592956592956595,0.0725021635846624
Home Credit,LR,5.0,1.0,5.0,0.68,0.34679609124758143,0.3669123669123669,0.10365778272311416
Home Credit,RF,5.0,1.0,5.0,0.59,0.3576085719395802,0.3083538083538084,0.09014641728041824
Home Credit,XGBoost,5.0,1.0,5.0,0.68,0.3393655594036063,0.3560606060606061,0.09090587965170703
Home Credit,LightGBM,5.0,1.0,5.0,0.68,0.3373981756987464,0.35155610155610156,0.0868259771454812
Home Credit,LR,6.0,1.0,6.0,0.64,0.3959156463912329,0.4383701883701884,0.13938783800491
Home Credit,RF,6.0,1.0,6.0,0.57,0.40885810448270815,0.3798116298116298,0.12313887564245218
Home Credit,XGBoost,6.0,1.0,6.0,0.64,0.38739573679332723,0.42997542997543,0.12578816298415726
Home Credit,LightGBM,6.0,1.0,6.0,0.62,0.3871030681430174,0.45188370188370186,0.1368091983256504
Home Credit,LR,7.0,1.0,7.0,0.62,0.43674292310944185,0.4785012285012285,0.15952242180186862
Home Credit,RF,7.0,1.0,7.0,0.55,0.4497666780482253,0.46355446355446356,0.16464437732916512
Home Credit,XGBoost,7.0,1.0,7.0,0.6,0.4247109897078191,0.5106470106470107,0.16586304950634945
Home Credit,LightGBM,7.0,1.0,7.0,0.6,0.42599547989528974,0.48976248976248976,0.1546477330931313
Home Credit,LR,8.0,1.0,8.0,0.6,0.47568411297009905,0.5139230139230139,0.18128190183507303
Home Credit,RF,8.0,1.0,8.0,0.55,0.49236622603775426,0.46355446355446356,0.16464437732916512
Home Credit,XGBoost,8.0,1.0,8.0,0.58,0.46002634017852784,0.5475020475020475,0.1874459103834402
Home Credit,LightGBM,8.0,1.0,8.0,0.59,0.4646765198445604,0.5067567567567568,0.16437944859499462
Home Credit,LR,9.0,1.0,9.0,0.55,0.5054875371933076,0.6021703521703522,0.24023737614581678
Home Credit,RF,9.0,1.0,9.0,0.52,0.5246085556802107,0.5718673218673219,0.2374821173104435
Home Credit,XGBoost,9.0,1.0,9.0,0.58,0.4959595466887794,0.5475020475020475,0.1874459103834402
Home Credit,LightGBM,9.0,1.0,9.0,0.52,0.49270767279644895,0.6183456183456183,0.23891273247496422
Home Credit,LR,10.0,1.0,10.0,0.55,0.537079492057298,0.6021703521703522,0.24023737614581678
Home Credit,RF,10.0,1.0,10.0,0.5,0.5593548282197616,0.6375921375921376,0.29498931454105515
Home Credit,XGBoost,10.0,1.0,10.0,0.5,0.5277140952473862,0.6701474201474201,0.2887016725834084
Home Credit,LightGBM,10.0,1.0,10.0,0.47,0.5283969887647757,0.6816134316134316,0.29933414578145146
